Timestamp,What name do you want to be listed by?,"What is your Mastodon handle (@user@instance.name)? Please don't leave out the instance (server) as well. For example, @coolperson@mastodon.social, not just @coolperson. ","Chronological areas of interests (e.g. Early Modern, Tang dynasty, 19th century, etc.)","Geographical areas of interest (e.g. Southeast Asia, Tibet, Silla, RyÅ«kyÅ«, China)","Themes or areas of research of interest (e.g. intellectual history, gender, history of science, etc.)",Other short info for self-description,"If another list of Mastodon accounts is created that overlaps with the interests and focus of your submission (a humanities list, etc.) is created, may we share the info here with that list?","If you have an account on Twitter, consider adding your account handle here (e.g. @twitterhandle) to help your follows from there find you here:",

10/30/2022 12:45:15,Coraline Jortay,@qiao_j@mastodon.online,"20th century, late 19th century","China, Taiwan, South-East Asia, overseas Sinophone communities","gender history, history of linguistic activism and linguistic reform, translation and interpreting studies, poetry","Postdoctoral Researcher at the University of Oxford, Co-founder of the China Academic Network on Gender (CHANGE), literary translator",Yes,@Qiao_J,https://mastodon.online/@qiao_j

10/30/2022 13:01:04,Susan Fernsebner,@sfern@mastodon.social,"19th century, 20th century ","China and Taiwan: also Japan, Korea, East Asia","History of childhood, children, play, transnational and global studies, digital humanities","Prof. of History, University of Mary Washington. Researching history of childhood and play in 1910s-40s China.",Yes,@sfern,https://mastodon.social/@sfern

10/30/2022 13:19:58,Gregory Scott,@sudasana@mastodon.social,19th and early 20th century,China and East Asia,Religion,,Yes,@sudasana,https://mastodon.social/@sudasana

10/30/2022 18:10:29,Aniket Alam,@AniketAlam@scholar.social,"Modern, 19th and 20th century","South Asia, Highland Asia, Himalayas","Geographical history, Intellectual history, political economy, kinship and family",Historian of tge Himalayas learning to use computational tools ,Yes,@aniketalam,https://scholar.social/@AniketAlam

10/31/2022 0:58:37,Francis Cao,@franciscao@mastodon.social,Contemporary history,Global history with an emphasis on East Asia,"History of ideas, legal history ","Research in money and credit, neoliberal China and political economy ",Yes,@thefranciscao,https://mastodon.social/@franciscao

10/31/2022 5:12:29,Wellington Chinese History ,@WellingtonChineseHistory@cloudisland.nz,1840 - 1980s ish,"Wellington, New Zealand ","Early Chinese communities in Wellington, New Zealand ","New Zealand Chinese communities have a long history in Wellington, New Zealand, with the earliest Chinese settling in Wellington around the 1860s when John Ah Tong set up a carpentry business in Willis Street. Chinese didn't arrive in significant numbers until the 1880s, some 30 years after Wong Ah Poo Hoc Ting (aka Appo Hocton) jumped ship in Nelson to become the first Chinese migrant to New Zealand, and only a few years after the Dunedin Chamber of Commerce invited Chinese miners to Otago. Early Chinese activity in Wellington historically centred around Haining Street and Frederick Street, and Sage's Lane, which was unofficially known as Wellington's Chinatown, or 'Tong Yan Gaai' (Chinese People's Street).  This wiki maps locations of significance to this community, and some of the history, organisations, businesses and people associated with them.  Although this wiki focuses on the greater Wellington area, there will be some content from further afield, which has a connection with the history of Chinese in Wellington, or may just be snippets of information that are of interest.",Yes,@WgtnChineseHist,https://cloudisland.nz/@WellingtonChineseHistory

