Timestamp,What name do you wish to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),Feel free to add a brief bio,What hashtags (up to 5) best describe the content you post?,

11/8/2022 20:21:42,Stuart Cantrill,@stuartcantrill@mastodon.social,@stuartcantrill,"Husband, Dad, pedant, former Chief Ed of Nature Chemistry and now Editorial Director at Nature Portfolio.â©",#chemistry #science #publishing #editorial #scicomm,https://mastodon.social/@stuartcantrill

11/8/2022 20:26:51,Jarvist Moore Frost,@Jarvist@mastodon.social,@JarvistFrost,Solid-state physicist in a chemistry department.,#PathIntegrals #ElectronicStructure #QuantumChemistry #MachineLearning #MolecularDynamics,https://mastodon.social/@Jarvist

11/8/2022 20:30:18,Janine George ,@MolecularXtal@mastodon.social,MolecularXtal,Solid-state and computational chemist by training. Permanent Researcher and Junior Group Leader at the Federal Institute of Materials Research ans Testing in Germany ,"Chemistry, Programming, Computational Materials Science, Berlin",https://mastodon.social/@MolecularXtal

11/8/2022 20:30:27,Jean-Philip Piquemal,@piquemal@mastodon-pa.sorbonne-universite.fr,@jppiquem,I am Professor of Chemistry and Director of the Laboratoire of Chimie ThÃ©orique (LCT) at Sorbonne UniversitÃ© in Paris. My research is focused on multiscale quantum chemistry and molecular simulation and is performed in strong interdisciplinary interactions with applied mathematics & HPC.,#compchem #HPC #supercomputing #quantumcomputing #machinelearning,https://mastodon-pa.sorbonne-universite.fr/@piquemal

11/8/2022 20:35:57,Ofer Kedem,@oferkedem@fediscience.org,@OferKedem,"Nanomaterials - catalysis, patterning, surface science. Assistant professor of chemistry at Marquette University",#chemistry #nanomaterials #catalysis,https://fediscience.org/@oferkedem

11/8/2022 20:37:32,David Mobley,@davidlmobley@mstdn.science,davidlmobley,"PharmSci/Chemistry professor at UC Irvine. Computational chemistry/molecular modeling relating to pharmaceutical drug discovery. Open science/open access proponent. Works on open source software for computational chemistry. OpenFF, OpenFE, Open Molecular Software Foundation. Runs the SAMPL series of blind challenges. ",#compchem #SAMPL ,https://mstdn.science/@davidlmobley

11/8/2022 20:40:05,Shawn Burdette,@scburdet@mas.to,scburdet,Professor of Chemistry at WPI,,https://mas.to/@scburdet

11/8/2022 20:42:07,Florian GlÃ¶cklhofer,@FGloecklhofer@fediscience.org,@FGloecklhofer,Organic Chemist and Research Fellow at Imperial College,#Chemistry #Research #Macrocycles,https://fediscience.org/@FGloecklhofer

11/8/2022 20:43:33,Sam Mikes,@samiammikes@mastodon.online,@samiammikes,"Studied Theo. chem, wound up in software, Apple, Edmonton, Canada ",,https://mastodon.online/@samiammikes

11/8/2022 20:44:10,FX Coudert,@fxcoudert@mastodon.social,fxcoudert,"Senior researcher @CNRS, computational chemist. Professor @ENS_ULM @PSL_Univ.",#compchem,https://mastodon.social/@fxcoudert

11/8/2022 20:44:28,John Taylor,@JohnTaylor@qoto.org,@JohnTaylorChem,"A Medicinal Chemist based in Scotland, working in Cancer Drug Discovery. ",#Chemistry #MedChem #DrugDiscovery #Science #OrganicChemistry,https://qoto.org/@JohnTaylor

11/8/2022 20:45:27,Professor Ferrous,@ProfFerrous@hachyderm.io,@ProfFerrous,"professor, inorganic chemist, mother, photographer, poet, maker, nature lover, ukulele player, baseball fan, chef, wine snob, cat whisperer, pokemon trainer, Ohio State buckeye, empath, still choosing kindness",#proflife #3Dprinting #momlife ,https://hachyderm.io/@DrFerrous

