Timestamp,What name do you wish to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon) ,What are your main areas of focus for your journalism? ,Where do you publish your work?,Other info for short self-description 

11/4/2022 20:53:15,Patrick deHahn,@pdehello@mastodon.social,@patrickdehahn,"Global politics and US breaking news, as well as public health",https://authory.com/PatrickdeHahn,

11/4/2022 21:07:14,Charles Seife,@cgseife@sciencemastodon.com,@cgseife,"Science journalism, investigative, data",Scientific American and elsewhere,Professor at NYU

11/4/2022 21:47:06,David Delima,@delima@mstdn.social,@DxDavey,Gadgets,NDTV Gadgets 360,

11/4/2022 22:37:24,Sara Gaiser,@akrazia@sfba.social,@akrazia,Local radio newscast - San Francisco Bay Area,"KQED.org, KQED FM 88.5",

11/5/2022 0:25:27,Taylor Lorenz,@taylorlorenz.mastodon.social,@taylorlorenz,"Technology, internet culture, media, breaking news",The Washington Post,Former tech reporter at The New York Times and The Atlantic

11/5/2022 1:25:21,Keri Blakinger ,@keribla@mstdn.social,Keribla ,"Criminal justice, prisons ",The Marshall Project ,

11/5/2022 3:03:44,Will Knight,@willknight@mastodon.social,@willknight,Technology,Wired magazine,Senior Writer at Wired

11/5/2022 3:15:32,Jack Ryan,@dctrjack@aus.social,@dctrjack,Science Editor,CNET,Science Editor @ CNET. Award-losing journalist. Party pooper. Absolutely brain-wormed by Twitter. Writes about science and bad science writing.

11/5/2022 3:26:25,Andrew Couts,@couts@mastodon.social,@AndrewCouts,Digital Security,Wired.com ,"Security Editor at WIRED | Twitter: @andrewcouts | he/him | I like to think about journalism, ethics, and truth, but I mostly care about dogs."

11/5/2022 3:31:18,Scott Nover,@scottnover@mas.to, @scottnover ,Internet,Quartz,"I write about the internet for Quartz. @scottnover on Twitter, the real OG. Please donât make me use this app."

11/5/2022 3:34:58,Josh Sternberg,@joshsternberg@mstdn.social,@joshsternberg,@joshsternberg, Morning Brew,"Executive Editor, Morning Brew"

11/5/2022 3:39:38,Patrick LaForge,@palafo@mstdn.social,@palafo,Breaking/Trending News,New York Times,"Editor, breaking/trending news, NYTimes.com"

11/5/2022 3:43:36,Mike Masnick,@mmasnick@mastodon.social,@mmasnick,Technology and Internet,Techdirt.com," founder and CEO, TechDirt"

11/5/2022 3:48:15,Shannon Vavra,@shanvav@mstdn.social,@shanvav,National Security,Daily Beast,"  National Security Reporter at The Daily Beast based in Washington, D.C. Send me your tips and thoughts: shannon.vavra@thedailybeast.com shannon.vavra@protonmail.comâ¨â©Formers at CyberScoop and Axios"

11/5/2022 3:52:43,Andrew E. Freedman,@FreedmanAE@mastodon.social,,Technology and Gaming,https://www.tomshardware.com/,"Senior Editor, Tomâs Hardware "

11/5/2022 3:56:05,Sara Morrison,@SaraMorrison@mastodon.social,@SaraMorrison,Technology and Privacy Policy,Recode/Vox.com,senior reporter at Recode/Vox

