Name,"Mastodon handle (@user@instance.name), including instance, i.e., @xyz@mastodon.fnord, not @xyz. ","Chronological foci / interests (e.g., Pax Mongolica, 15th century, early medieval, Comune di Roma, Khen Dynasty, c.1150âc.1350, Kamakura period)","Geographical foci / interests (e.g., Global, Ireland, North Africa, South China Sea, Outremer, Pataliputra, Samarkand, etc.)","Research themes and / or methods (e.g., legal history, trade, Avicenna, Middle Ages in film, archaeology, queer theory, DH, philology, etc.)",Other short info for self-description,Twitter,Mastodon Profile Link,"If another list of Mastodon accounts overlapping with Medieval Studies is created, may we share this info with it?"

Stephanie J. Lahey,@SJLahey@mastodon.social,"medieval, mainly c.1100âc.1500","western Europe; chiefly Britain, France, Low Countries","Manuscripts (palaeography, codicology), materiality, quantitative methods, digital humanities, law and literature",Postdoctoral Fellow at University of Toronto Centre for Medieval Studies & Old Books New Science Lab,@SJLahey,https://mastodon.social/@SJLahey,Yes

Aaron Macks,@aaronm@mastadon.cc,Medieval-early Renaissance,Europe,"Books of Hours, DH, Manuscript Digitzation",,@gundormr,https://mastodon.cc/@aaronm,Yes

Matthew Collins,@MatthewCollins@mastodon.social,Biocodicology,Mainly mediÃ¦val Europe,"Biomolecular analyses of parchment to reveal craft, agency and networks",Part of Beasts to Craft https://sites.google.com/palaeome.org/ercb2c,@mc80york,https://mastodon.social/@MatthewCollins,Yes

GJ Morgan,@GJMedieval@toot.community,12th-13th centuries ,"Wales, the Atlantic Archipelago, and NW Europe",Cultural-Environmental History ,MPhil in Medieval History at Jesus College Oxford,@GeraintJMorgan1,https://toot.community/web/@GJMedieval,Yes

Incunabula,@Incunabula@mstdn.social,Primarily Late Antiquity to the Early Modern era.,Global,"The history of writing, and of the book, across all cultures.",Independent researcher and collector,@incunabula,https://mstdn.social/@Incunabula,Yes

SÃ©golÃ¨ne Gence,@SegoleneG@fosstodon.org,"Late medieval, 15th century, renaissance",England and France,"Devotional manuscript culture, manuscript culture, literary culture, book production, manuscript studies, manuscript compilations, DH, queer theory, translation ","University of Kent, doctoral researcher",@SegoAG,https://fosstodon.org/@SegoleneG,Yes

Ruth Karras,@rkarras@mastodon.ie,All medieval generally ,NW Europe,"History: Gender, sexuality, family ",Trinity College Dublin,@rmkarras,https://mastodon.ie/@rkarras,Yes

Michael Meckler,@michaelmeckler@mastodonapp.uk,early medieval,"NW Europe, especially Ireland and Scotland","history, Celtic studies, manuscript culture, Latin literature, Classical tradition","permanent fellow, Center for Epigraphical and Palaeographical Studies, Ohio State University",@MichaelMeckler,https://mastodonapp.uk/@michaelmeckler,Yes

Cordelia Beattie,@CordeliaBeattie@mstdn.social,late medieval,"England, Scotland, Europe","Gender history, legal history, cultural history, social history, women's history",Professor of Women's and Gender History,@CordeliaBeattie,https://mstdn.social/@CordeliaBeattie#,Yes

Clemens Radl,@rotula@social.tchncs.de,"early medieval, c. 500â1100",central and western Europe,"canon law, hagiography, critical editions, digital humanities",MGH,@rotula,https://social.tchncs.de/web/@rotula,Yes

James Baillie,@JubalBarca@Scholar.Social,"High medieval, 11th-13th centuries","Caucasus, Anatolia, Byzantium, Middle East, Black Sea, Caspian Sea","Prosopography, Social History, Political History, Digital Humanities, Reception & Game Studies","Austrian Academy of Sciences Iranistik Institute Project Staff/University of Vienna Digital Humanities PhD student. Convenor of Coding Medieval Worlds gamedev/medievalism workshops and of the Medieval Caucasus Network. Eclectic wider medieval interests & creative projects including music, writing, spoken word storytelling, and games.",@JubalBarca,https://scholar.social/@JubalBarca,Yes

Dominik WaÃenhoven,@domwass@scholar.social,10thâ12th centuries,"Germany, England, Scandinavia","kingship, church history (esp. bishops, nuns and canonesses), history of mentalities/historiography, comparative history","Iâm an âAkademischer Ratâ (comparable to a lecturer or senior lecturer) at the University of Cologne, Germany.",@domwasz,https://scholar.social/@domwass,Yes

Jeff Berry,@AspiringLuddite@medievalist.masto.host,c. 1000 - c. 1650,"Europe, especially Anglo- and Francophone areas","cooks, cookery, with related issues of manuscript studies, professional cooks in urban environments, and daily life","I am also generally interested in re-enactment, food preservation, eating locally and seasonally, and the like.  Also gaming, reading and writing sf/f, and random bits of poetry.  Also computers. ",@aspiringluddite,https://medievalist.masto.host/@AspiringLuddite,Yes

Andrew Ayton,@AndrewAyton@mas.to,c.1200-c.1500,Europe and neighbours,"Military, maritime, social & economic, numismatics, landscape",University of Hull (retired); Keele University (Senior Research Fellow).,@AndrewAyton,https://mas.to/@AndrewAyton,Yes

Richard Jones,@rlcj@mstdn.social,c. 400âc. 1600,Britain and Europe,"Landscape History, Environmental History, Archaeology, Historical Geography","Associate Professor of Landscape History, Centre for Regional and Local History, University of Leicester",@rlcjones,https://mstdn.social/@rlcj,Yes

Ada Palmer,@adapalmer@wandering.shop,"late Medieval early Renaissance, 1300 & later",Italy & its cultural interconnections,"book history, classical reception, disability, censorship","University of Chicago History dept associate prof mostly early modern but I love hanging out w/ Medievalists! Also F&SF novelist, disability activist, anime/manga scholar",@Ada_Palmer,https://wandering.shop/web/@adapalmer#,Yes

Christopher Guy Yocum,@26aafa19@mastodon.social,c400-c1600,Ireland and Medieval Irish in Europe,"Medieval Law (Brehon/Early Irish Law), Literature, and DH","No affiliation at this time, Computer Science (Databases in particular)",,https://mastodon.social/@26aafa19,Yes

Maggie Fritz-Morkin,@maggie@zirk.us,13th-14th c. Italian comuni,Italy,"Literature, tre corone, debt and obligation, law and gender, obscenity and censorship, philology, marginalia",Asst Prof of Italian at UNC,@mfritzmorkin,https://zirk.us/web/@maggie#,Yes

Meg Smith,@meg_smith0913@mstdn.social,Medieval and early modern,Ireland and Great Britain,"Digital humanities, borderlands, legal history, cultural history",Digital humanities prof at Southern Illinois University Edwardsville,@meg_smith0913,https://mstdn.social/@meg_smith0913,Yes

Alvionne (Alvi) Karpinski ,@booksandleather@hcommons.social,"13th-16th c, contemporary ",Europe ,"Cultural heritage crime, rare books, medieval manuscripts, bookbreaking ",PhD candidate researching sociology and criminology of the rare book trade,@boomsandleather,https://hcommons.social/@booksandleather,Yes

