Timestamp,What name do you want to be listed as?,"What is your Mastodon handle (@user@instance.name)?

11/6/2022 18:06:52,Vineet Tiruvadi,@vineettiruvadi@neuromatch.social,"Neuroengineering, Deep brain stimulation, emotion","Excited for a robust, distributed community!",@vineettiruvadi

11/6/2022 18:19:49,Konrad Kording,@kordinglab@neuromatch.social,"Computational neuroscience, meta neuroscience ",I am interested in how we can learn,@kordinglab

11/6/2022 18:48:04,JJ Orban de Xivry,@jjodx@fediscience.org,"Motor control, motor learning, aging, tDCS, cerebellum",Proponent of Open Science and transparency,@jjodx

11/6/2022 18:55:18,Arshiya Sangchooli,@arshiya@fediscience.org,"translational neuroscience,  neuroimaging, addiction neuroscience ",,https://twitter.com/Arshiya_San

11/6/2022 19:31:44,Guillaume Dumas,@introspection@scholar.social,"social neuroscience, computational neuroscience, electrophysiology, oscillation, EEG, MEG, hyperscanning, neuroengineering, neuromodulation","I also dig machine learning, complex systems, and mental health!",introspection

11/6/2022 22:36:10,Britt Gratreak ,@Britt@qoto.org,"Pain, memory, neuroimmunology, traumatic brain injury, stroke, dementia","Disabled, queer, first-generation/low income, MD/PhD student",BrittGratreak

11/6/2022 22:36:53,Ellen M Walker,@emwalker@scicomm.xyz,"Connectomics, neuroanatomy",,@NeuroEllen

11/6/2022 22:41:11,Neurofrontiers,@neurofrontiers@qoto.org,,,

11/6/2022 23:00:25,Wouter De Baene,@wdebaene@fediscience.org,"fMRI, connectomics, DES, TMS, brain tumors",,@wdebaene

11/6/2022 23:04:53,Jane Adams,@janeadams@vis.social,"neurogenetics, addiction, genetics, radiology, visualization, data visualization, computer graphics, informatics, information visualization, genomics, phenome, metabolomics",Data visualization researcher working on tools for computational biology and neuroradiology,

11/6/2022 23:21:04,Paolo Papale,@paolo_papale@scholar.social,"ephys, vision, attention",,@paolo_papale

11/7/2022 0:44:08,JIP,@jaimeibper@mas.to,"Neuroengineering, Neural Interfacing, Oscillations",Hopeless mastodon user,@jaimeibper

11/7/2022 2:07:49,Jeremy lefort-Besnard,@ohso_X@framapiaf.org,"brain mapping, psychiatry, statistical learning, programming, neurosciences, machine learning, python","PhD in Computational Neuroscience, postdoc",@jlefortbesnard

11/7/2022 2:15:30,Bruno Hebling Vieira,@bhvieira@mastodon.online,"neuroimaging, mri, neuroanatomy, neuroscience, machine learning, deep learning, variational inference, fmri, neurodegenerative diseases, cognition, psychometry, individual differences",,@HeblingVieira

11/7/2022 3:44:24,Manuel Baltieri,@manuelbaltieri@mathstodon.xyz,"cognitive computational neuroscience, cognitive architectures, decision making","Artificial life, agency, embodied cognitive science and AI using tools from dynamical systems and Bayesian inference, information, control and applied category theory.",@manuelbaltieri

11/7/2022 6:20:53,Grace Lindsay,@neurograce@mastodon.online,"vision, attention, computational neuroscience, artificial neural networks",,@neurograce

11/7/2022 6:29:06,Adam Filipowicz,@AdamFilipowicz@fediscience.org,"Neurodegeneration, epigenetics",I use C. elegans to study the effect of drug and environmental exposures on neurodegeneration and epigenetics.,@adamfilipowicz

11/7/2022 7:48:21,Andrew Reid,@AndrewReid@fediscience.org,"norepinephrine, connectivity, dwi, smri, fmri, eeg, tms",,@atypical_me

11/7/2022 8:06:06,Ari Benjamin,@aribenjamin@fediscience.org,"theoretical neuroscience, learning, AI for neuroscience",,@aribenjamin

11/7/2022 9:10:48,Mark Henick,@markhenick@mstdn.social,"Learning, Memory, LTP, Depression, Neuroplasticity ",,@markhenick

11/7/2022 9:35:59,Farid Aboharb,@aboharbf@mastodon.social,"Transcranial Magnetic Stimulation, Psychedelics, Learning, Social Cognition",MD/PhD Student at the Tri-I,@aboharbf

11/7/2022 9:36:16,Oscar Woolnough,@owoolnough@mastodon.online,"intracranial recording, reading, language, learning, vision, stimulation",,@owoolnough

11/7/2022 9:36:43,Hari Kalidindi,@neurohari@fediscience.org,"motor neuroscience, neuroengineering, recurrent neural networks, reinforcement learning, motor control, BCI, population dynamics",Postdoctoral researcher in motor neuroscience @UCLouvain. Electrical&Robotics engineer + computational neuroscience background,@hariteja11

11/7/2022 9:44:00,Bartul Mimica,@bartulem@fediscience.org,"neuroethology, electrophysiology, optogenetics, computational neuroscience, imaging",Postdoc @Princeton,@bartulem

11/7/2022 9:44:40,Xavier Guell,@xavierguell@mas.to,cerebellum,,

11/7/2022 9:46:57,Andreas Tolias ,@atoliaslab@scicomm.xyz,"systems, computational, perception, neuroengineering, machine learning ",,@AToliasLab

11/7/2022 9:48:13,Alex Hess,@alexjhess@fosstodon.org,"Bayesian Statistics, Computational Psychiatry",doctoral student @TNU Zurich (ETH),@alex_j_hess

11/7/2022 9:50:14,Jens Pedersen,@jegp@mastodon.social,"neuroengineering, neuromorphic, plasticity, geometry","Neurorobotics, plasticity, and neuromorphics",@jensegholm

11/7/2022 9:52:14,Anjiolina Nakaya ,@neuronakaya@mastodon.social,"cognitive neuroscience, computational neuroscience, neurodegenerative disorders, naked wrestling ","Philippines, Japan ",@neuronakaya 

11/7/2022 10:04:54,Joao Barbosa,@barbosa@mastodon.social,"computational neuroscience, recurrent neural networks",,@jmourabarbosa

11/7/2022 10:07:35,David L Barack,@dbarack@fediscience.org,"Cognitive neuroscience, neuroethology",Philosopher too!,@DLBarack

11/7/2022 10:09:19,Jascha Achterberg,@achterbrain@mastodon.social,"Higher cognition, PFC, plasticity, attention, artificial neural networks, neuroAI",,@achterbrain

11/7/2022 10:09:53,Shayna Rosenbaum,@Rosenbaumlab@mas.to,"memory, amnesia, fMRI, patient-lesion, perception, cognition, aging, hippocampus, prefrontal cortex","Neuropsychologist and cognitive neuroscientist studying memory, navigation, and aging",@RosenbaumLab

11/7/2022 10:12:23,Sia Ahmadi,@SiavashAhmadi@mastodon.social,"computational neuroscience, cortical computations, social brain, learning and memory",Postdoc at Stanford,@SiaAhmadi1

11/7/2022 10:22:21,Jan Willem de Gee,@jwdegee@mstdn.social,"Decision-making, arousal, brain stimulation, oscillations, cortical layers",Assistant Professor of Cognitive and Systems Neuroscience,jwdegee

11/7/2022 10:41:51,Mattia Rigotti,@matrig@mastodon.social ,"Computational neuroscience, theoretical neuroscience, artificial neural networks, deep learning",,@mattiarigotti

11/7/2022 10:45:33,Josh Brown,@joshbrownneuro@qoto.org,"cognitive control, computational neural modeling, neuroimaging, neurostimulation",,@joshbrownneuro

11/7/2022 10:46:02,Manlio De Domenico,@manlius@mathstodon.xyz,"Network neuroscience, connectomics, information processing",Using statistical physics of complex networks to better understand the human brain,@manlius84

11/7/2022 10:49:32,Daniel Baker,@bakerdh@fediscience.org,"binocular vision, EEG, SSVEP, psychophysics, computational modelling",Senior Lecturer at the University of York (UK),@bakerdh

11/7/2022 11:02:18,Bernd Porr,@berndporr@sigmoid.social,"Comp Neuro, Decision making, plasticity, limbic system, BCI, signal processing/detection",,@berndporr

11/7/2022 11:11:36,Prantik Deb ,@prantik@sigmoid.social,"Neuroscience and AI, Neuroimaging ","Presently Research Fellow @IHUB-DATA, IIIT-HYDERABAD ",@prantikDebAI

11/7/2022 11:16:57,David Schoppik,@schoppik@mastodon.social,"systems, development, circuits, balance, vestibular, locomotion, zebrafish, imaging",Assistant Professor at NYU Grossman School of Medicine,@schoppik

11/7/2022 11:18:10,Blake Richards,@tyrell_turing@fediscience.org,"deep learning, synaptic plasticity, memory, reinforcement learning","Researcher in Montr̩al combining artificial intelligence and neuroscience. I post mostly science, occasional politics and house music.",@tyrell_turing

11/7/2022 11:21:48,Ondrej Zika,@OndrejZika@mastodon.online,"cognitive neuroscience, computational psychiatry, aversive learning, anxiety",,@OndrejZika

